pid,timestamp,STEP#count#weekdays_morning,STEP#count#weekdays_afternoon,STEP#count#weekdays_evening,STEP#count#weekdays_night,STEP#count#weekends_morning,STEP#count#weekends_afternoon,STEP#count#weekends_evening,STEP#count#weekends_night
421,2021-11-09,,,582.0,,,,,
421,2021-11-11,,88.0,,,,,,
421,2021-11-11,,,755.0,,,,,
421,2021-11-12,,628.0,,,,,,
421,2021-11-15,28.0,,,,,,,
421,2021-11-15,,677.0,,,,,,
421,2021-11-15,,,675.0,,,,,
421,2021-11-18,60.0,,,,,,,
421,2021-11-18,,422.0,,,,,,
421,2021-11-18,,,715.0,,,,,
421,2021-11-19,1161.0,,,,,,,
421,2021-11-19,,616.0,,,,,,
421,2021-11-19,,,2185.0,,,,,
421,2021-11-21,,,,,68.0,,,
421,2021-11-21,,,,,,403.0,,
421,2021-11-24,79.0,,,,,,,
421,2021-11-24,,181.0,,,,,,
421,2021-11-24,,,354.0,,,,,
421,2021-11-25,,2.0,,,,,,
421,2021-11-27,,,,,1.0,,,
421,2021-11-27,,,,,,24.0,,
421,2021-11-30,,31.0,,,,,,
421,2021-11-30,,,692.0,,,,,
421,2021-12-03,102.0,,,,,,,
421,2021-12-03,,,489.0,,,,,
421,2021-12-06,,,294.0,,,,,
421,2021-12-07,51.0,,,,,,,
421,2021-12-08,1596.0,,,,,,,
421,2021-12-08,,222.0,,,,,,
421,2021-12-09,11.0,,,,,,,
421,2021-12-09,,195.0,,,,,,
421,2021-12-09,,,209.0,,,,,
421,2021-12-10,623.0,,,,,,,
426,2021-09-09,,,1453.0,,,,,
426,2021-09-10,1656.0,,,,,,,
426,2021-09-10,,169.0,,,,,,
426,2021-09-10,,,1838.0,,,,,
426,2021-09-10,,,,38.0,,,,
426,2021-09-11,,,,,,64.0,,
426,2021-09-11,,,,,,,33.0,
426,2021-09-12,,,,,,3902.0,,
426,2021-09-12,,,,,,,1829.0,
426,2021-09-13,1163.0,,,,,,,
426,2021-09-13,,1472.0,,,,,,
426,2021-09-13,,,769.0,,,,,
426,2021-09-13,,,,22.0,,,,
426,2021-09-14,,,2833.0,,,,,
426,2021-09-15,13.0,,,,,,,
426,2021-09-15,,,511.0,,,,,
426,2021-09-15,,,,2.0,,,,
426,2021-09-16,7.0,,,,,,,
426,2021-09-16,,736.0,,,,,,
426,2021-09-16,,,4358.0,,,,,
426,2021-09-17,1366.0,,,,,,,
426,2021-09-17,,4.0,,,,,,
426,2021-09-17,,,2623.0,,,,,
426,2021-09-17,,,,47.0,,,,
426,2021-09-18,,,,,,,1283.0,
426,2021-09-19,,,,,4.0,,,
426,2021-09-19,,,,,,70.0,,
426,2021-09-19,,,,,,,1035.0,
426,2021-09-19,,,,,,,,5.0
426,2021-09-20,,53.0,,,,,,
426,2021-09-20,,,24.0,,,,,
426,2021-09-21,,11.0,,,,,,
426,2021-09-21,,,449.0,,,,,
426,2021-09-21,,,,61.0,,,,
426,2021-09-22,47.0,,,,,,,
426,2021-09-22,,184.0,,,,,,
426,2021-09-22,,,377.0,,,,,
426,2021-09-23,,,1530.0,,,,,
426,2021-09-24,,61.0,,,,,,
426,2021-09-24,,,6013.0,,,,,
426,2021-09-24,,,,19.0,,,,
426,2021-09-25,,,,,,427.0,,
426,2021-09-25,,,,,,,395.0,
426,2021-09-26,,,,,,80.0,,
426,2021-09-26,,,,,,,1418.0,
426,2021-09-27,63.0,,,,,,,
426,2021-09-27,,1604.0,,,,,,
426,2021-09-27,,,1580.0,,,,,
426,2021-09-27,,,,47.0,,,,
426,2021-09-28,4.0,,,,,,,
426,2021-09-28,,1164.0,,,,,,
426,2021-09-28,,,611.0,,,,,
426,2021-09-29,,1.0,,,,,,
426,2021-09-29,,,1057.0,,,,,
426,2021-09-30,,,3373.0,,,,,
426,2021-10-01,19.0,,,,,,,
426,2021-10-01,,787.0,,,,,,
426,2021-10-01,,,1348.0,,,,,
426,2021-10-02,,,,,,156.0,,
426,2021-10-02,,,,,,,15.0,
426,2021-10-03,,,,,53.0,,,
426,2021-10-03,,,,,,,3.0,
426,2021-10-03,,,,,,,,4.0
426,2021-10-04,,,1194.0,,,,,
426,2021-10-05,,,530.0,,,,,
426,2021-10-05,,,,13.0,,,,
426,2021-10-06,,,1132.0,,,,,
426,2021-10-07,15.0,,,,,,,
426,2021-10-07,,1897.0,,,,,,
426,2021-10-07,,,2613.0,,,,,
426,2021-10-08,,60.0,,,,,,
426,2021-10-08,,,2541.0,,,,,
426,2021-10-09,,,,,37.0,,,
426,2021-10-09,,,,,,40.0,,
426,2021-10-09,,,,,,,,24.0
426,2021-10-10,,,,,,76.0,,
426,2021-10-10,,,,,,,62.0,
426,2021-10-11,39.0,,,,,,,
426,2021-10-11,,511.0,,,,,,
426,2021-10-11,,,2222.0,,,,,
426,2021-10-12,,,626.0,,,,,
426,2021-10-12,,,,12.0,,,,
426,2021-10-13,18.0,,,,,,,
426,2021-10-13,,990.0,,,,,,
426,2021-10-13,,,306.0,,,,,
426,2021-10-14,124.0,,,,,,,
426,2021-10-14,,487.0,,,,,,
426,2021-10-14,,,2255.0,,,,,
426,2021-10-14,,,,29.0,,,,
426,2021-10-16,,,,,17.0,,,
426,2021-10-16,,,,,,45.0,,
426,2021-10-16,,,,,,,2.0,
426,2021-10-18,,116.0,,,,,,
426,2021-10-18,,,2384.0,,,,,
426,2021-10-20,,,391.0,,,,,
426,2021-10-21,,3071.0,,,,,,
426,2021-10-22,85.0,,,,,,,
426,2021-10-22,,1808.0,,,,,,
426,2021-10-22,,,2245.0,,,,,
426,2021-10-25,18.0,,,,,,,
426,2021-10-25,,1796.0,,,,,,
426,2021-10-25,,,1826.0,,,,,
426,2021-10-26,,62.0,,,,,,
426,2021-10-26,,,1376.0,,,,,
426,2021-10-27,844.0,,,,,,,
426,2021-10-27,,,6511.0,,,,,
426,2021-10-28,38.0,,,,,,,
426,2021-10-28,,1027.0,,,,,,
426,2021-10-28,,,2617.0,,,,,
426,2021-10-29,,,911.0,,,,,
426,2021-10-30,,,,,,601.0,,
426,2021-10-30,,,,,,,738.0,
426,2021-10-31,,,,,17.0,,,
426,2021-10-31,,,,,,42.0,,
426,2021-10-31,,,,,,,58.0,
426,2021-11-01,,,1774.0,,,,,
426,2021-11-01,,,,34.0,,,,
426,2021-11-02,,15.0,,,,,,
426,2021-11-02,,,2909.0,,,,,
426,2021-11-03,799.0,,,,,,,
426,2021-11-03,,582.0,,,,,,
426,2021-11-03,,,647.0,,,,,
426,2021-11-04,,,1634.0,,,,,
426,2021-11-05,,,461.0,,,,,
426,2021-11-06,,,,,,324.0,,
426,2021-11-06,,,,,,,31.0,
