pid,timestamp,UNLOCK_STATE#unlock_count#weekdays_morning,UNLOCK_STATE#total_duration#weekdays_morning,UNLOCK_STATE#unlock_count#weekdays_afternoon,UNLOCK_STATE#total_duration#weekdays_afternoon,UNLOCK_STATE#unlock_count#weekdays_evening,UNLOCK_STATE#total_duration#weekdays_evening,UNLOCK_STATE#unlock_count#weekdays_night,UNLOCK_STATE#total_duration#weekdays_night,UNLOCK_STATE#unlock_count#weekends_morning,UNLOCK_STATE#total_duration#weekends_morning,UNLOCK_STATE#unlock_count#weekends_afternoon,UNLOCK_STATE#total_duration#weekends_afternoon,UNLOCK_STATE#unlock_count#weekends_evening,UNLOCK_STATE#total_duration#weekends_evening,UNLOCK_STATE#unlock_count#weekends_night,UNLOCK_STATE#total_duration#weekends_night
700,2021-11-14,,,,,,,,,,,6.0,8608.784000000001,,,,
700,2021-11-14,,,,,,,,,,,,,4.0,17261.521,,
700,2021-11-14,,,,,,,,,,,,,,,1.0,785.817
700,2021-11-15,,,3.0,9495.351999999999,,,,,,,,,,,,
700,2021-11-15,,,,,3.0,71439.899,,,,,,,,,,
700,2021-11-15,,,,,,,2.0,11442.836,,,,,,,,
700,2021-11-16,,,3.0,10682.98,,,,,,,,,,,,
700,2021-11-16,,,,,6.0,95708.189,,,,,,,,,,
700,2021-11-19,1.0,82.863,,,,,,,,,,,,,,
700,2021-11-19,,,43.0,8556.658000000001,,,,,,,,,,,,
700,2021-11-19,,,,,30.0,67270.554,,,,,,,,,,
700,2021-11-19,,,,,,,2.0,20507.494,,,,,,,,
700,2021-11-20,,,,,,,,,,,3.0,3131.056,,,,
700,2021-11-20,,,,,,,,,,,,,8.0,97681.05900000001,,
700,2021-11-22,,,5.0,5111.579,,,,,,,,,,,,
700,2021-11-22,,,,,5.0,92331.195,,,,,,,,,,
700,2021-11-26,,,9.0,2330.0299999999997,,,,,,,,,,,,
700,2021-11-26,,,,,55.0,7547.762000000001,,,,,,,,,,
700,2021-11-27,,,,,,,,,,,1.0,2825.948,,,,
700,2021-11-27,,,,,,,,,,,,,13.0,14672.039999999997,,
700,2021-11-27,,,,,,,,,,,,,,,11.0,40357.333000000006
700,2021-11-30,,,14.0,9902.115,,,,,,,,,,,,
700,2021-11-30,,,,,45.0,7426.606,,,,,,,,,,
700,2021-12-01,12.0,4121.093,,,,,,,,,,,,,,
700,2021-12-01,,,,,,,11.0,22159.707000000002,,,,,,,,
700,2021-12-02,,,5.0,3859.2650000000003,,,,,,,,,,,,
700,2021-12-02,,,,,6.0,60834.676,,,,,,,,,,
700,2021-12-03,1.0,11827.467,,,,,,,,,,,,,,
700,2021-12-03,,,2.0,7907.133,,,,,,,,,,,,
700,2021-12-03,,,,,4.0,93426.85800000001,,,,,,,,,,
700,2021-12-05,,,,,,,,,5.0,12594.84,,,,,,
700,2021-12-05,,,,,,,,,,,1.0,86400.0,,,,
700,2021-12-05,,,,,,,,,,,,,,,0.0,0.0
700,2021-12-06,,,,,7.0,95639.32,,,,,,,,,,
700,2021-12-08,,,0.0,0.0,,,,,,,,,,,,
700,2021-12-09,,,3.0,92058.075,,,,,,,,,,,,
700,2021-12-11,,,,,,,,,,,3.0,567.4780000000001,,,,
700,2021-12-11,,,,,,,,,,,,,4.0,11330.466,,
700,2021-12-12,,,,,,,,,,,2.0,20368.487,,,,
700,2021-12-12,,,,,,,,,,,,,1.0,3.093,,
700,2021-12-12,,,,,,,,,,,,,,,2.0,55964.78200000001
700,2021-12-13,,,2.0,7734.12,,,,,,,,,,,,
700,2021-12-13,,,,,1.0,86400.0,,,,,,,,,,
700,2021-12-15,,,4.0,14679.642000000002,,,,,,,,,,,,
700,2021-12-15,,,,,25.0,14448.152,,,,,,,,,,
700,2021-12-16,,,12.0,15511.843,,,,,,,,,,,,
700,2021-12-16,,,,,44.0,13237.644999999999,,,,,,,,,,
700,2021-12-16,,,,,,,16.0,43676.477,,,,,,,,
700,2021-12-17,14.0,4887.111999999999,,,,,,,,,,,,,,
700,2021-12-17,,,47.0,10319.678000000002,,,,,,,,,,,,
700,2021-12-17,,,,,19.0,9533.479,,,,,,,,,,
700,2021-12-17,,,,,,,14.0,4543.165999999999,,,,,,,,
700,2021-12-18,,,,,,,,,,,,,,,1.0,511.53
700,2021-12-19,,,,,,,,,5.0,10570.778999999999,,,,,,
700,2021-12-19,,,,,,,,,,,3.0,53591.702999999994,,,,
700,2021-12-20,4.0,15740.822,,,,,,,,,,,,,,
700,2021-12-20,,,1.0,86400.0,,,,,,,,,,,,
700,2021-12-20,,,,,,,0.0,0.0,,,,,,,,
700,2021-12-21,,,6.0,11905.062,,,,,,,,,,,,
700,2021-12-21,,,,,14.0,22425.471,,,,,,,,,,
700,2021-12-22,,,,,,,0.0,0.0,,,,,,,,
700,2021-12-24,,,6.0,4607.731,,,,,,,,,,,,
700,2021-12-24,,,,,12.0,28839.13,,,,,,,,,,
700,2021-12-25,,,,,,,,,,,,,6.0,7072.289999999999,,
700,2021-12-25,,,,,,,,,,,,,,,3.0,1032.5049999999999
700,2021-12-26,,,,,,,,,2.0,4032.9120000000003,,,,,,
700,2021-12-26,,,,,,,,,,,2.0,87138.181,,,,
700,2021-12-26,,,,,,,,,,,,,,,5.0,5292.888000000001
700,2021-12-27,,,0.0,0.0,,,,,,,,,,,,
700,2021-12-27,,,,,32.0,3901.25,,,,,,,,,,
700,2021-12-28,0.0,0.0,,,,,,,,,,,,,,
700,2021-12-28,,,,,,,18.0,8263.135999999999,,,,,,,,
700,2021-12-29,,,1.0,301.01,,,,,,,,,,,,
700,2021-12-29,,,,,8.0,52945.558000000005,,,,,,,,,,
700,2021-12-30,2.0,5508.04,,,,,,,,,,,,,,
700,2021-12-30,,,23.0,11554.826000000001,,,,,,,,,,,,
700,2021-12-30,,,,,8.0,89434.861,,,,,,,,,,
700,2022-01-02,,,,,,,,,,,,,7.0,79629.601,,
700,2022-01-03,,,,,8.0,18479.045,,,,,,,,,,
700,2022-01-04,,,5.0,8819.028,,,,,,,,,,,,
700,2022-01-04,,,,,2.0,16532.747,,,,,,,,,,
700,2022-01-04,,,,,,,0.0,0.0,,,,,,,,
700,2022-01-05,,,,,,,2.0,6642.672,,,,,,,,
700,2022-01-07,,,2.0,4776.388999999999,,,,,,,,,,,,
700,2022-01-07,,,,,4.0,12517.39,,,,,,,,,,
700,2022-01-08,,,,,,,,,,,,,,,1.0,314.762
700,2022-01-10,,,19.0,12766.482999999998,,,,,,,,,,,,
700,2022-01-10,,,,,23.0,4140.437,,,,,,,,,,
700,2022-01-13,,,32.0,10119.434000000001,,,,,,,,,,,,
700,2022-01-13,,,,,30.0,10838.696,,,,,,,,,,
700,2022-01-14,,,12.0,12487.832,,,,,,,,,,,,
700,2022-01-14,,,,,2.0,28402.365999999998,,,,,,,,,,
700,2022-01-14,,,,,,,1.0,6869.637,,,,,,,,
700,2022-01-15,,,,,,,,,1.0,2734.189,,,,,,
700,2022-01-15,,,,,,,,,,,,,,,4.0,6509.9169999999995
700,2022-01-16,,,,,,,,,,,5.0,7527.873,,,,
700,2022-01-16,,,,,,,,,,,,,5.0,95007.014,,
700,2022-01-19,,,1.0,6602.146,,,,,,,,,,,,
700,2022-01-19,,,,,3.0,86810.652,,,,,,,,,,
700,2022-01-22,,,,,,,,,,,6.0,9011.154999999999,,,,
700,2022-01-22,,,,,,,,,,,,,7.0,20524.114,,
700,2022-01-23,,,,,,,,,,,1.0,5039.891,,,,
700,2022-01-23,,,,,,,,,,,,,4.0,88252.632,,
700,2022-01-23,,,,,,,,,,,,,,,2.0,46436.806000000004
700,2022-01-25,,,6.0,4667.279,,,,,,,,,,,,
700,2022-01-25,,,,,8.0,13107.819000000001,,,,,,,,,,
700,2022-01-26,1.0,4165.924,,,,,,,,,,,,,,
700,2022-01-26,,,10.0,14874.837,,,,,,,,,,,,
700,2022-01-26,,,,,5.0,19942.681,,,,,,,,,,
700,2022-01-26,,,,,,,4.0,17367.138,,,,,,,,
700,2022-01-27,5.0,17780.530000000002,,,,,,,,,,,,,,
700,2022-01-27,,,0.0,0.0,,,,,,,,,,,,
700,2022-01-27,,,,,,,1.0,20245.601,,,,,,,,
700,2022-01-28,0.0,0.0,,,,,,,,,,,,,,
700,2022-01-28,,,3.0,268.278,,,,,,,,,,,,
700,2022-01-28,,,,,5.0,16831.769,,,,,,,,,,
700,2022-01-28,,,,,,,7.0,8151.118,,,,,,,,
700,2022-01-29,,,,,,,,,,,4.0,7537.474,,,,
700,2022-01-29,,,,,,,,,,,,,6.0,2930.471,,
700,2022-01-29,,,,,,,,,,,,,,,3.0,6007.523
700,2022-01-31,1.0,1265.798,,,,,,,,,,,,,,
